player,season,team,role,inferred_nationality,batting_style,bowling_style,is_wicketkeeper_career,runs_scored,wickets_taken,balls_faced,balls_bowled,batting_rating,bowling_rating,pp_bat_rating,pp_bowl_rating,death_bat_rating,death_bowl_rating,clutch_rating,overall_rating,cost
SE Marsh,2008,Punjab Kings,BAT,Australia,left-hand-bat,slow-left-arm-orthodox,0,616,0,452,0,92.2,50.0,77.7,50.0,57.7,50.0,79.0,95.1,15.81
V Sehwag,2008,Delhi Capitals,BAT,India,right-hand-bat,right-arm-offbreak,0,406,3,229,67,92.0,60.2,81.9,50.0,50.0,52.5,75.2,94.5,15.23
Sohail Tanvir,2008,Rajasthan Royals,BOWL,Pakistan,left-hand-bat,left-arm-fast-medium,0,36,22,31,265,56.2,89.6,50.0,76.2,60.5,85.1,75.9,92.2,13.14
G Gambhir,2008,Delhi Capitals,BAT,India,left-hand-bat,legbreak,0,534,0,394,0,89.2,50.0,78.2,50.0,65.1,50.0,77.3,91.9,12.88
PP Chawla,2008,Punjab Kings,BOWL,India,left-hand-bat,legbreak,0,90,17,61,286,65.4,88.0,50.0,50.0,78.0,76.9,85.5,91.6,12.63
AC Gilchrist,2008,Sunrisers Hyderabad,WK,Australia,left-hand-bat,right-arm-offbreak,1,436,0,328,0,87.4,50.0,76.2,50.0,50.0,50.0,78.3,90.2,11.49
MF Maharoof,2008,Delhi Capitals,BOWL,Sri Lanka,right-hand-bat,right-arm-fast-medium,0,125,15,79,226,75.3,86.4,50.0,77.5,81.4,74.7,82.6,89.7,11.11
SK Warne,2008,Rajasthan Royals,BOWL,Australia,right-hand-bat,legbreak-googly,0,70,19,60,319,64.7,85.9,50.0,50.0,75.7,67.2,85.2,89.4,10.88
BB McCullum,2008,Kolkata Knight Riders,WK,New Zealand,right-hand-bat,right-arm-offbreak,1,188,0,96,0,86.4,50.0,85.9,50.0,78.6,50.0,76.2,89.0,10.58
YK Pathan,2008,Rajasthan Royals,AR,India,right-hand-bat,right-arm-offbreak,0,435,8,253,170,90.0,80.5,81.6,91.0,77.0,71.2,81.7,88.9,10.51
